# Phonon free energy and specific heat from phonopy-VASP
# Phonon zero point energy = 0.19309939644311433
#    Temperature (K)   Free energy (eV/cell)   Internal energy (eV/cell)    c_v (kB/cell)   -TS_vib(eV/cell)
0.0   0.19309939644311433   0.19309939644311433   0.0   -0.0
1.0   0.19309939644311433   0.19309939644311433   5.071885212151758e-05   -6.684953927795603e-10
2.0   0.19309938815169858   0.19309943168163113   0.0009830100122352086   -4.293502347486211e-08
3.0   0.19309933633035034   0.19309961512920404   0.0036361820827712325   -2.7925695445164383e-07
4.0   0.1930991777570246   0.19310013023340594   0.008819054624156417   -9.526587924861165e-07
5.0   0.1930988264082833   0.1931012381738321   0.01760004304794181   -2.4116619061376105e-06
6.0   0.1930981703500141   0.19310330377277446   0.03127924340319727   -5.13392646387295e-06
7.0   0.193097060336734   0.19310681829661464   0.05156761413105409   -9.758010665571791e-06
8.0   0.1930953118844431   0.19311244713146455   0.08076254964859643   -1.7134417879860847e-05
9.0   0.1930926886877933   0.19312107434952577   0.12169680067967456   -2.8385781958003347e-05
10.0   0.19308889432867243   0.19313384520259527   0.17739868079743834   -4.495044898780042e-05
11.0   0.19308356605764254   0.19315215264851474   0.25061424841222324   -6.858671627988017e-05
12.0   0.1930762685753781   0.19317760107622686   0.3433973223676809   -0.00010133269569702981
13.0   0.1930664992148008   0.19321193168303372   0.456885643060809   -0.00014543249414357442
14.0   0.19305369726892233   0.19325694474257452   0.5912731857458203   -0.00020324682692173302
15.0   0.1930372543551139   0.1933144187635221   0.7459262955201724   -0.00027716442395460346
16.0   0.19301652270652203   0.19338604830396516   0.9195760148475159   -0.00036952544819767797
17.0   0.19299083900988873   0.19347340147790257   1.110530231964755   -0.00048256269810066047
18.0   0.19295952544197856   0.19357788678958057   1.3168690753500485   -0.0006183613662576752
19.0   0.19292190832526396   0.19370074380564986   1.5366046233830732   -0.0007788358825195756
20.0   0.19287732331005994   0.19384304419159287   1.7677990478793808   -0.0009657207571617036
21.0   0.19282512366594004   0.19400569585743138   2.008643440591893   -0.0011805716224929893
22.0   0.19276468339101702   0.19418945746770425   2.2575032521066367   -0.0014247735812751598
23.0   0.19269540343050484   0.19439495709715257   2.5129378721821465   -0.0016995538397310218
24.0   0.19261671064029154   0.19462270674069726   2.773701700173422   -0.002005996349148203
25.0   0.1925280608962202   0.19487311785984376   3.0387329476756744   -0.0023450573781943103
26.0   0.19242893909408898   0.19514651900194002   3.307135224826771   -0.0027175800881893467
27.0   0.19231885811322402   0.1954431672008736   3.5781558191199125   -0.0031243084118992067
28.0   0.19219735985290656   0.1957632593777679   3.8511631082553563   -0.003565899060542071
29.0   0.19206401108666502   0.19610694374167903   4.12562517571569   -0.004042932123326985
