#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
     466.000     -93.5240015    403.3379187    196.4805380     94.4314686
     467.000     -93.9275501    403.7591129    196.4934777     94.6279556
     468.000     -94.3315195    404.1794337    196.5063362     94.8244555
     469.000     -94.7359087    404.5988847    196.5191139     95.0209682
     470.000     -95.1407169    405.0174695    196.5318117     95.2174937
     471.000     -95.5459433    405.4351915    196.5444301     95.4140318
     472.000     -95.9515870    405.8520542    196.5569699     95.6105825
     473.000     -96.3576472    406.2680611    196.5694316     95.8071457
     474.000     -96.7641229    406.6832157    196.5818160     96.0037214
     475.000     -97.1710133    407.0975214    196.5941236     96.2003094
     476.000     -97.5783176    407.5109816    196.6063550     96.3969096
     477.000     -97.9860350    407.9235997    196.6185110     96.5935220
     478.000     -98.3941646    408.3353790    196.6305921     96.7901466
     479.000     -98.8027055    408.7463229    196.6425990     96.9867832
     480.000     -99.2116569    409.1564348    196.6545321     97.1834318
     481.000     -99.6210181    409.5657179    196.6663922     97.3800922
     482.000    -100.0307881    409.9741756    196.6781799     97.5767645
     483.000    -100.4409661    410.3818110    196.6898956     97.7734486
     484.000    -100.8515514    410.7886276    196.7015401     97.9701443
     485.000    -101.2625431    411.1946284    196.7131138     98.1668516
     486.000    -101.6739404    411.5998167    196.7246174     98.3635705
     487.000    -102.0857425    412.0041958    196.7360514     98.5603008
     488.000    -102.4979485    412.4077687    196.7474163     98.7570426
     489.000    -102.9105578    412.8105387    196.7587128     98.9537957
     490.000    -103.3235694    413.2125089    196.7699413     99.1505600
     491.000    -103.7369825    413.6136823    196.7811024     99.3473355
     492.000    -104.1507965    414.0140622    196.7921966     99.5441222
     493.000    -104.5650104    414.4136516    196.8032246     99.7409199
     494.000    -104.9796235    414.8124536    196.8141867     99.9377286
     495.000    -105.3946350    415.2104712    196.8250835    100.1345482
     496.000    -105.8100442    415.6077075    196.8359156    100.3313787
     497.000    -106.2258502    416.0041654    196.8466834    100.5282200
     498.000    -106.6420523    416.3998481    196.8573875    100.7250721
     499.000    -107.0586496    416.7947584    196.8680283    100.9219348
     500.000    -107.4756415    417.1888993    196.8786063    101.1188081
     501.000    -107.8930272    417.5822738    196.8891221    101.3156920
     502.000    -108.3108058    417.9748848    196.8995761    101.5125863
     503.000    -108.7289767    418.3667352    196.9099687    101.7094911
     504.000    -109.1475390    418.7578279    196.9203006    101.9064063
     505.000    -109.5664921    419.1481659    196.9305721    102.1033317
     506.000    -109.9858351    419.5377520    196.9407837    102.3002674
     507.000    -110.4055673    419.9265889    196.9509359    102.4972133
     508.000    -110.8256880    420.3146797    196.9610292    102.6941692
     509.000    -111.2461964    420.7020270    196.9710639    102.8911353
     510.000    -111.6670918    421.0886337    196.9810406    103.0881113
     511.000    -112.0883735    421.4745026    196.9909596    103.2850974
     512.000    -112.5100406    421.8596364    197.0008215    103.4820932
     513.000    -112.9320925    422.2440380    197.0106266    103.6790990
     514.000    -113.3545284    422.6277100    197.0203755    103.8761145
     515.000    -113.7773477    423.0106551    197.0300684    104.0731397
     516.000    -114.2005495    423.3928762    197.0397059    104.2701746
     517.000    -114.6241332    423.7743758    197.0492884    104.4672191
     518.000    -115.0480980    424.1551567    197.0588163    104.6642732
     519.000    -115.4724433    424.5352215    197.0682899    104.8613367
     520.000    -115.8971682    424.9145730    197.0777098    105.0584097
     521.000    -116.3222722    425.2932136    197.0870763    105.2554921
     522.000    -116.7477544    425.6711461    197.0963898    105.4525839
     523.000    -117.1736142    426.0483731    197.1056507    105.6496849
     524.000    -117.5998509    426.4248971    197.1148594    105.8467951
     525.000    -118.0264638    426.8007207    197.1240162    106.0439146
     526.000    -118.4534521    427.1758466    197.1331217    106.2410432
     527.000    -118.8808153    427.5502772    197.1421762    106.4381808
     528.000    -119.3085525    427.9240150    197.1511799    106.6353275
     529.000    -119.7366631    428.2970628    197.1601334    106.8324832
     530.000    -120.1651464    428.6694228    197.1690370    107.0296477
     531.000    -120.5940017    429.0410977    197.1778911    107.2268212
     532.000    -121.0232283    429.4120899    197.1866960    107.4240035
     533.000    -121.4528256    429.7824019    197.1954520    107.6211946
     534.000    -121.8827929    430.1520361    197.2041596    107.8183944
     535.000    -122.3131295    430.5209951    197.2128192    108.0156029
     536.000    -122.7438347    430.8892811    197.2214309    108.2128200
     537.000    -123.1749078    431.2568967    197.2299953    108.4100457
     538.000    -123.6063482    431.6238443    197.2385126    108.6072800
     539.000    -124.0381553    431.9901262    197.2469832    108.8045227
     540.000    -124.4703283    432.3557448    197.2554075    109.0017739
     541.000    -124.9028665    432.7207026    197.2637857    109.1990335
     542.000    -125.3357694    433.0850018    197.2721182    109.3963015
     543.000    -125.7690363    433.4486447    197.2804053    109.5935778
     544.000    -126.2026665    433.8116339    197.2886474    109.7908623
     545.000    -126.6366594    434.1739714    197.2968448    109.9881550
     546.000    -127.0710142    434.5356597    197.3049978    110.1854560
     547.000    -127.5057305    434.8967011    197.3131067    110.3827650
     548.000    -127.9408074    435.2570978    197.3211719    110.5800822
     549.000    -128.3762445    435.6168521    197.3291936    110.7774074
     550.000    -128.8120409    435.9759663    197.3371722    110.9747405
     551.000    -129.2481962    436.3344426    197.3451080    111.1720817
     552.000    -129.6847096    436.6922832    197.3530012    111.3694307
     553.000    -130.1215805    437.0494904    197.3608522    111.5667877
     554.000    -130.5588084    437.4060664    197.3686613    111.7641524
     555.000    -130.9963925    437.7620134    197.3764288    111.9615250
     556.000    -131.4343322    438.1173336    197.3841549    112.1589053
     557.000    -131.8726269    438.4720291    197.3918400    112.3562933
     558.000    -132.3112760    438.8261021    197.3994843    112.5536889
     559.000    -132.7502789    439.1795548    197.4070882    112.7510922
     560.000    -133.1896349    439.5323894    197.4146520    112.9485031
     561.000    -133.6293435    439.8846079    197.4221758    113.1459215
     562.000    -134.0694040    440.2362125    197.4296600    113.3433474
     563.000    -134.5098157    440.5872052    197.4371048    113.5407808
     564.000    -134.9505782    440.9375883    197.4445106    113.7382216
     565.000    -135.3916907    441.2873638    197.4518776    113.9356698
     566.000    -135.8331527    441.6365337    197.4592061    114.1331254
     567.000    -136.2749636    441.9851002    197.4664963    114.3305882
     568.000    -136.7171227    442.3330652    197.4737485    114.5280584
     569.000    -137.1596295    442.6804309    197.4809630    114.7255357
     570.000    -137.6024833    443.0271993    197.4881401    114.9230203
     571.000    -138.0456837    443.3733725    197.4952799    115.1205120
     572.000    -138.4892299    443.7189523    197.5023828    115.3180108
     573.000    -138.9331214    444.0639409    197.5094489    115.5155167
     574.000    -139.3773576    444.4083402    197.5164786    115.7130297
     575.000    -139.8219379    444.7521523    197.5234721    115.9105497
     576.000    -140.2668617    445.0953791    197.5304297    116.1080766
     577.000    -140.7121284    445.4380225    197.5373516    116.3056105
     578.000    -141.1577375    445.7800846    197.5442380    116.5031513
     579.000    -141.6036884    446.1215672    197.5510891    116.7006990
     580.000    -142.0499805    446.4624724    197.5579053    116.8982535
     581.000    -142.4966132    446.8028020    197.5646867    117.0958148
     582.000    -142.9435859    447.1425580    197.5714337    117.2933829
     583.000    -143.3908981    447.4817423    197.5781463    117.4909577
     584.000    -143.8385492    447.8203567    197.5848249    117.6885391
     585.000    -144.2865386    448.1584033    197.5914697    117.8861273
     586.000    -144.7348658    448.4958838    197.5980809    118.0837221
     587.000    -145.1835302    448.8328001    197.6046587    118.2813234
     588.000    -145.6325312    449.1691541    197.6112034    118.4789314
     589.000    -146.0818683    449.5049476    197.6177152    118.6765458
     590.000    -146.5315409    449.8401826    197.6241942    118.8741668
     591.000    -146.9815485    450.1748608    197.6306408    119.0717942
     592.000    -147.4318905    450.5089840    197.6370551    119.2694281
     593.000    -147.8825663    450.8425541    197.6434374    119.4670683
     594.000    -148.3335754    451.1755729    197.6497878    119.6647149
     595.000    -148.7849172    451.5080422    197.6561066    119.8623679
     596.000    -149.2365913    451.8399638    197.6623940    120.0600271
     597.000    -149.6885970    452.1713394    197.6686501    120.2576927
     598.000    -150.1409338    452.5021709    197.6748753    120.4553644
     599.000    -150.5936012    452.8324600    197.6810696    120.6530424
     600.000    -151.0465985    453.1622085    197.6872334    120.8507266
     601.000    -151.4999254    453.4914180    197.6933667    121.0484169
     602.000    -151.9535812    453.8200905    197.6994699    121.2461133
     603.000    -152.4075654    454.1482275    197.7055430    121.4438158
     604.000    -152.8618775    454.4758308    197.7115864    121.6415244
     605.000    -153.3165169    454.8029022    197.7176001    121.8392390
     606.000    -153.7714831    455.1294433    197.7235844    122.0369595
     607.000    -154.2267756    455.4554558    197.7295395    122.2346861
     608.000    -154.6823938    455.7809415    197.7354655    122.4324186
     609.000    -155.1383373    456.1059020    197.7413627    122.6301570
     610.000    -155.5946055    456.4303390    197.7472312    122.8279013
     611.000    -156.0511978    456.7542541    197.7530712    123.0256515
     612.000    -156.5081138    457.0776491    197.7588830    123.2234075
     613.000    -156.9653529    457.4005256    197.7646666    123.4211692
     614.000    -157.4229147    457.7228851    197.7704223    123.6189368
     615.000    -157.8807985    458.0447294    197.7761502    123.8167101
     616.000    -158.3390040    458.3660601    197.7818506    124.0144891
     617.000    -158.7975305    458.6868788    197.7875235    124.2122738
     618.000    -159.2563775    459.0071872    197.7931692    124.4100641
     619.000    -159.7155447    459.3269867    197.7987879    124.6078601
     620.000    -160.1750314    459.6462791    197.8043797    124.8056617
     621.000    -160.6348371    459.9650659    197.8099448    125.0034688
     622.000    -161.0949613    460.2833487    197.8154833    125.2012816
     623.000    -161.5554036    460.6011291    197.8209955    125.3990998
     624.000    -162.0161634    460.9184086    197.8264815    125.5969235
     625.000    -162.4772402    461.2351888    197.8319414    125.7947528
     626.000    -162.9386336    461.5514713    197.8373754    125.9925874
     627.000    -163.4003430    461.8672576    197.8427838    126.1904275
     628.000    -163.8623680    462.1825493    197.8481665    126.3882730
     629.000    -164.3247080    462.4973478    197.8535239    126.5861238
     630.000    -164.7873625    462.8116548    197.8588561    126.7839800
     631.000    -165.2503311    463.1254717    197.8641632    126.9818415
     632.000    -165.7136133    463.4388000    197.8694453    127.1797083
     633.000    -166.1772085    463.7516413    197.8747027    127.3775804
     634.000    -166.6411164    464.0639971    197.8799355    127.5754577
     635.000    -167.1053364    464.3758687    197.8851438    127.7733403
     636.000    -167.5698680    464.6872578    197.8903279    127.9712280
     637.000    -168.0347107    464.9981659    197.8954877    128.1691209
     638.000    -168.4998642    465.3085942    197.9006236    128.3670190
     639.000    -168.9653278    465.6185445    197.9057356    128.5649222
     640.000    -169.4311011    465.9280180    197.9108239    128.7628304
     641.000    -169.8971836    466.2370163    197.9158887    128.9607438
     642.000    -170.3635750    466.5455408    197.9209300    129.1586622
     643.000    -170.8302746    466.8535929    197.9259480    129.3565857
     644.000    -171.2972820    467.1611740    197.9309430    129.5545141
     645.000    -171.7645968    467.4682857    197.9359149    129.7524475
     646.000    -172.2322184    467.7749293    197.9408640    129.9503859
     647.000    -172.7001465    468.0811062    197.9457903    130.1483293
     648.000    -173.1683805    468.3868178    197.9506941    130.3462775
     649.000    -173.6369199    468.6920656    197.9555755    130.5442306
     650.000    -174.1057644    468.9968509    197.9604346    130.7421886
     651.000    -174.5749135    469.3011751    197.9652715    130.9401515
     652.000    -175.0443666    469.6050396    197.9700863    131.1381192
     653.000    -175.5141234    469.9084457    197.9748793    131.3360917
     654.000    -175.9841834    470.2113950    197.9796506    131.5340689
     655.000    -176.4545460    470.5138886    197.9844001    131.7320510
     656.000    -176.9252110    470.8159279    197.9891282    131.9300377
     657.000    -177.3961778    471.1175144    197.9938349    132.1280292
     658.000    -177.8674459    471.4186493    197.9985204    132.3260254
     659.000    -178.3390149    471.7193341    198.0031848    132.5240262
     660.000    -178.8108844    472.0195699    198.0078281    132.7220317
     661.000    -179.2830539    472.3193582    198.0124506    132.9200419
     662.000    -179.7555230    472.6187003    198.0170524    133.1180566
     663.000    -180.2282911    472.9175975    198.0216335    133.3160760
     664.000    -180.7013580    473.2160511    198.0261942    133.5140999
     665.000    -181.1747231    473.5140624    198.0307345    133.7121284
     666.000    -181.6483860    473.8116327    198.0352545    133.9101614
     667.000    -182.1223462    474.1087633    198.0397544    134.1081989
     668.000    -182.5966034    474.4054554    198.0442343    134.3062409
     669.000    -183.0711570    474.7017105    198.0486943    134.5042873
     670.000    -183.5460066    474.9975297    198.0531345    134.7023382
     671.000    -184.0211519    475.2929143    198.0575550    134.9003936
     672.000    -184.4965923    475.5878656    198.0619560    135.0984534
     673.000    -184.9723275    475.8823848    198.0663376    135.2965175
     674.000    -185.4483570    476.1764732    198.0706999    135.4945860
     675.000    -185.9246803    476.4701321    198.0750430    135.6926589
     676.000    -186.4012971    476.7633627    198.0793669    135.8907361
     677.000    -186.8782069    477.0561662    198.0836719    136.0888176
     678.000    -187.3554093    477.3485438    198.0879580    136.2869034
     679.000    -187.8329038    477.6404968    198.0922254    136.4849935
     680.000    -188.3106901    477.9320265    198.0964741    136.6830879
     681.000    -188.7887677    478.2231339    198.1007043    136.8811865
     682.000    -189.2671362    478.5138204    198.1049161    137.0792893
     683.000    -189.7457952    478.8040872    198.1091095    137.2773963
     684.000    -190.2247443    479.0939353    198.1132847    137.4755075
     685.000    -190.7039830    479.3833662    198.1174418    137.6736229
     686.000    -191.1835109    479.6723808    198.1215808    137.8717424
     687.000    -191.6633276    479.9609805    198.1257020    138.0698660
     688.000    -192.1434327    480.2491664    198.1298054    138.2679938
     689.000    -192.6238258    480.5369396    198.1338910    138.4661256
     690.000    -193.1045064    480.8243014    198.1379591    138.6642615
     691.000    -193.5854742    481.1112529    198.1420096    138.8624015
     692.000    -194.0667288    481.3977953    198.1460428    139.0605456
     693.000    -194.5482697    481.6839297    198.1500586    139.2586936
     694.000    -195.0300965    481.9696574    198.1540573    139.4568457
     695.000    -195.5122089    482.2549793    198.1580388    139.6550017
     696.000    -195.9946064    482.5398967    198.1620034    139.8531617
     697.000    -196.4772885    482.8244107    198.1659510    140.0513257
     698.000    -196.9602550    483.1085225    198.1698818    140.2494936
     699.000    -197.4435055    483.3922331    198.1737959    140.4476655
     700.000    -197.9270394    483.6755437    198.1776934    140.6458412
     701.000    -198.4108564    483.9584554    198.1815743    140.8440209
     702.000    -198.8949562    484.2409694    198.1854388    141.0422044
     703.000    -199.3793382    484.5230867    198.1892870    141.2403917
     704.000    -199.8640022    484.8048084    198.1931189    141.4385829
     705.000    -200.3489477    485.0861357    198.1969347    141.6367780
     706.000    -200.8341743    485.3670696    198.2007343    141.8349768
     707.000    -201.3196817    485.6476112    198.2045180    142.0331794
     708.000    -201.8054694    485.9277617    198.2082858    142.2313858
     709.000    -202.2915371    486.2075220    198.2120378    142.4295960
     710.000    -202.7778843    486.4868933    198.2157741    142.6278099
     711.000    -203.2645108    486.7658766    198.2194947    142.8260275
     712.000    -203.7514160    487.0444731    198.2231998    143.0242489
     713.000    -204.2385996    487.3226837    198.2268895    143.2224739
     714.000    -204.7260612    487.6005096    198.2305638    143.4207027
     715.000    -205.2138005    487.8779518    198.2342228    143.6189351
     716.000    -205.7018170    488.1550113    198.2378666    143.8171711
     717.000    -206.1901104    488.4316892    198.2414952    144.0154108
     718.000    -206.6786802    488.7079865    198.2451089    144.2136541
     719.000    -207.1675262    488.9839043    198.2487076    144.4119010
     720.000    -207.6566479    489.2594436    198.2522914    144.6101515
     721.000    -208.1460450    489.5346055    198.2558605    144.8084056
     722.000    -208.6357170    489.8093909    198.2594148    145.0066632
     723.000    -209.1256636    490.0838009    198.2629545    145.2049244
     724.000    -209.6158845    490.3578365    198.2664797    145.4031891
     725.000    -210.1063792    490.6314987    198.2699904    145.6014574
     726.000    -210.5971473    490.9047885    198.2734867    145.7997291
     727.000    -211.0881886    491.1777069    198.2769687    145.9980043
     728.000    -211.5795026    491.4502550    198.2804365    146.1962830
     729.000    -212.0710890    491.7224338    198.2838901    146.3945652
     730.000    -212.5629474    491.9942441    198.2873297    146.5928508
     731.000    -213.0550774    492.2656870    198.2907552    146.7911398
     732.000    -213.5474786    492.5367636    198.2941669    146.9894323
     733.000    -214.0401508    492.8074747    198.2975646    147.1877282
     734.000    -214.5330935    493.0778214    198.3009486    147.3860274
     735.000    -215.0263063    493.3478046    198.3043189    147.5843301
     736.000    -215.5197890    493.6174253    198.3076756    147.7826361
     737.000    -216.0135410    493.8866845    198.3110187    147.9809454
     738.000    -216.5075622    494.1555831    198.3143484    148.1792581
     739.000    -217.0018521    494.4241220    198.3176646    148.3775741
     740.000    -217.4964103    494.6923024    198.3209675    148.5758934
     741.000    -217.9912366    494.9601250    198.3242572    148.7742160
     742.000    -218.4863305    495.2275908    198.3275336    148.9725419
     743.000    -218.9816916    495.4947009    198.3307969    149.1708711
     744.000    -219.4773197    495.7614560    198.3340472    149.3692035
     745.000    -219.9732144    496.0278572    198.3372845    149.5675392
     746.000    -220.4693753    496.2939054    198.3405088    149.7658781
     747.000    -220.9658021    496.5596015    198.3437203    149.9642202
     748.000    -221.4624944    496.8249465    198.3469191    150.1625655
     749.000    -221.9594519    497.0899412    198.3501051    150.3609140
     750.000    -222.4566742    497.3545866    198.3532785    150.5592657
     751.000    -222.9541610    497.6188835    198.3564393    150.7576206
     752.000    -223.4519118    497.8828330    198.3595876    150.9559786
     753.000    -223.9499265    498.1464359    198.3627234    151.1543398
     754.000    -224.4482046    498.4096932    198.3658469    151.3527040
     755.000    -224.9467458    498.6726056    198.3689580    151.5510715
     756.000    -225.4455497    498.9351741    198.3720569    151.7494420
     757.000    -225.9446160    499.1973997    198.3751436    151.9478156
     758.000    -226.4439444    499.4592831    198.3782182    152.1461922
     759.000    -226.9435345    499.7208254    198.3812808    152.3445720
     760.000    -227.4433859    499.9820273    198.3843313    152.5429548
     761.000    -227.9434984    500.2428897    198.3873699    152.7413407
     762.000    -228.4438716    500.5034135    198.3903966    152.9397295
     763.000    -228.9445051    500.7635997    198.3934115    153.1381214
     764.000    -229.4453987    501.0234490    198.3964147    153.3365164
     765.000    -229.9465519    501.2829623    198.3994062    153.5349143
     766.000    -230.4479645    501.5421405    198.4023860    153.7333152
     767.000    -230.9496361    501.8009845    198.4053543    153.9317190
     768.000    -231.4515663    502.0594951    198.4083111    154.1301259
     769.000    -231.9537550    502.3176731    198.4112564    154.3285357
     770.000    -232.4562016    502.5755194    198.4141904    154.5269484
     771.000    -232.9589059    502.8330349    198.4171130    154.7253640
     772.000    -233.4618675    503.0902204    198.4200243    154.9237826
     773.000    -233.9650862    503.3470767    198.4229244    155.1222041
     774.000    -234.4685616    503.6036047    198.4258134    155.3206284
     775.000    -234.9722933    503.8598052    198.4286912    155.5190557
     776.000    -235.4762811    504.1156790    198.4315580    155.7174858
     777.000    -235.9805246    504.3712270    198.4344139    155.9159188
     778.000    -236.4850234    504.6264500    198.4372588    156.1143546
     779.000    -236.9897774    504.8813488    198.4400928    156.3127933
     780.000    -237.4947860    505.1359242    198.4429160    156.5112348
     781.000    -238.0000491    505.3901770    198.4457284    156.7096792
     782.000    -238.5055663    505.6441081    198.4485301    156.9081263
     783.000    -239.0113372    505.8977183    198.4513212    157.1065762
     784.000    -239.5173616    506.1510083    198.4541017    157.3050289
     785.000    -240.0236391    506.4039790    198.4568716    157.5034844
     786.000    -240.5301694    506.6566312    198.4596310    157.7019427
     787.000    -241.0369523    506.9089656    198.4623799    157.9004037
     788.000    -241.5439873    507.1609831    198.4651185    158.0988674
     789.000    -242.0512741    507.4126845    198.4678468    158.2973339
     790.000    -242.5588125    507.6640704    198.4705647    158.4958031
     791.000    -243.0666022    507.9151418    198.4732724    158.6942750
     792.000    -243.5746427    508.1658994    198.4759700    158.8927497
     793.000    -244.0829339    508.4163440    198.4786574    159.0912270
     794.000    -244.5914753    508.6664764    198.4813347    159.2897070
     795.000    -245.1002667    508.9162973    198.4840020    159.4881896
     796.000    -245.6093078    509.1658075    198.4866593    159.6866750
     797.000    -246.1185982    509.4150077    198.4893066    159.8851629
     798.000    -246.6281377    509.6638988    198.4919441    160.0836536
     799.000    -247.1379259    509.9124815    198.4945718    160.2821468
     800.000    -247.6479626    510.1607566    198.4971896    160.4806427
     801.000    -248.1582473    510.4087248    198.4997978    160.6791412
     802.000    -248.6687799    510.6563868    198.5023962    160.8776423
     803.000    -249.1795600    510.9037435    198.5049850    161.0761460
     804.000    -249.6905873    511.1507955    198.5075642    161.2746523
     805.000    -250.2018615    511.3975436    198.5101339    161.4731611
     806.000    -250.7133823    511.6439886    198.5126940    161.6716725
     807.000    -251.2251494    511.8901312    198.5152447    161.8701865
     808.000    -251.7371624    512.1359721    198.5177860    162.0687030
     809.000    -252.2494212    512.3815121    198.5203180    162.2672221
     810.000    -252.7619254    512.6267519    198.5228406    162.4657437
     811.000    -253.2746746    512.8716922    198.5253539    162.6642678
     812.000    -253.7876687    513.1163338    198.5278581    162.8627944
     813.000    -254.3009072    513.3606773    198.5303530    163.0613235
     814.000    -254.8143899    513.6047236    198.5328389    163.2598551
     815.000    -255.3281165    513.8484732    198.5353156    163.4583891
     816.000    -255.8420868    514.0919270    198.5377833    163.6569257
     817.000    -256.3563003    514.3350857    198.5402420    163.8554647
     818.000    -256.8707568    514.5779499    198.5426917    164.0540062
     819.000    -257.3854561    514.8205204    198.5451325    164.2525501
     820.000    -257.9003978    515.0627978    198.5475645    164.4510964
     821.000    -258.4155816    515.3047829    198.5499876    164.6496452
     822.000    -258.9310072    515.5464765    198.5524019    164.8481964
     823.000    -259.4466744    515.7878790    198.5548075    165.0467500
     824.000    -259.9625829    516.0289914    198.5572044    165.2453060
     825.000    -260.4787323    516.2698142    198.5595926    165.4438644
     826.000    -260.9951224    516.5103482    198.5619722    165.6424252
     827.000    -261.5117529    516.7505941    198.5643433    165.8409884
     828.000    -262.0286235    516.9905524    198.5667058    166.0395539
     829.000    -262.5457339    517.2302240    198.5690598    166.2381218
     830.000    -263.0630839    517.4696095    198.5714053    166.4366920
     831.000    -263.5806731    517.7087096    198.5737425    166.6352646
     832.000    -264.0985012    517.9475249    198.5760712    166.8338395
     833.000    -264.6165680    518.1860561    198.5783917    167.0324167
     834.000    -265.1348732    518.4243039    198.5807038    167.2309963
     835.000    -265.6534165    518.6622690    198.5830077    167.4295781
     836.000    -266.1721977    518.8999521    198.5853033    167.6281623
     837.000    -266.6912163    519.1373537    198.5875908    167.8267487
     838.000    -267.2104723    519.3744746    198.5898702    168.0253375
     839.000    -267.7299652    519.6113154    198.5921415    168.2239285
     840.000    -268.2496948    519.8478768    198.5944047    168.4225217
     841.000    -268.7696609    520.0841595    198.5966598    168.6211173
     842.000    -269.2898630    520.3201640    198.5989070    168.8197151
     843.000    -269.8103011    520.5558911    198.6011463    169.0183151
     844.000    -270.3309747    520.7913413    198.6033776    169.2169173
     845.000    -270.8518837    521.0265154    198.6056011    169.4155218
     846.000    -271.3730277    521.2614140    198.6078167    169.6141285
     847.000    -271.8944064    521.4960376    198.6100245    169.8127375
     848.000    -272.4160197    521.7303871    198.6122246    170.0113486
     849.000    -272.9378671    521.9644629    198.6144169    170.2099619
     850.000    -273.4599485    522.1982658    198.6166016    170.4085774
     851.000    -273.9822635    522.4317963    198.6187786    170.6071951
     852.000    -274.5048120    522.6650551    198.6209479    170.8058150
     853.000    -275.0275936    522.8980429    198.6231097    171.0044370
     854.000    -275.5506080    523.1307602    198.6252640    171.2030612
     855.000    -276.0738550    523.3632076    198.6274107    171.4016875
     856.000    -276.5973343    523.5953859    198.6295500    171.6003160
     857.000    -277.1210457    523.8272956    198.6316818    171.7989466
     858.000    -277.6449888    524.0589373    198.6338062    171.9975794
     859.000    -278.1691635    524.2903116    198.6359232    172.1962142
     860.000    -278.6935693    524.5214193    198.6380329    172.3948512
     861.000    -279.2182062    524.7522608    198.6401353    172.5934903
     862.000    -279.7430738    524.9828367    198.6422304    172.7921315
     863.000    -280.2681718    525.2131478    198.6443182    172.9907748
     864.000    -280.7935000    525.4431946    198.6463989    173.1894201
     865.000    -281.3190581    525.6729776    198.6484724    173.3880676
     866.000    -281.8448459    525.9024976    198.6505387    173.5867171
     867.000    -282.3708630    526.1317551    198.6525980    173.7853686
     868.000    -282.8971093    526.3607506    198.6546502    173.9840223
     869.000    -283.4235844    526.5894849    198.6566953    174.1826779
     870.000    -283.9502882    526.8179584    198.6587334    174.3813356
     871.000    -284.4772202    527.0461718    198.6607645    174.5799954
     872.000    -285.0043804    527.2741257    198.6627887    174.7786572
     873.000    -285.5317684    527.5018206    198.6648060    174.9773210
     874.000    -286.0593840    527.7292572    198.6668164    175.1759868
     875.000    -286.5872268    527.9564359    198.6688199    175.3746546
     876.000    -287.1152968    528.1833575    198.6708166    175.5733244
     877.000    -287.6435935    528.4100225    198.6728065    175.7719962
     878.000    -288.1721167    528.6364314    198.6747897    175.9706700
     879.000    -288.7008662    528.8625848    198.6767661    176.1693458
     880.000    -289.2298418    529.0884834    198.6787359    176.3680236
     881.000    -289.7590431    529.3141276    198.6806990    176.5667033
     882.000    -290.2884700    529.5395181    198.6826554    176.7653850
     883.000    -290.8181221    529.7646553    198.6846052    176.9640686
     884.000    -291.3479992    529.9895400    198.6865484    177.1627542
     885.000    -291.8781011    530.2141726    198.6884851    177.3614417
     886.000    -292.4084275    530.4385537    198.6904153    177.5601311
     887.000    -292.9389781    530.6626839    198.6923390    177.7588225
     888.000    -293.4697527    530.8865637    198.6942562    177.9575158
     889.000    -294.0007511    531.1101937    198.6961670    178.1562110
     890.000    -294.5319731    531.3335744    198.6980714    178.3549081
     891.000    -295.0634182    531.5567064    198.6999694    178.5536072
     892.000    -295.5950864    531.7795902    198.7018610    178.7523081
     893.000    -296.1269773    532.0022264    198.7037464    178.9510109
     894.000    -296.6590908    532.2246156    198.7056254    179.1497156
     895.000    -297.1914265    532.4467582    198.7074982    179.3484221
     896.000    -297.7239842    532.6686548    198.7093647    179.5471306
     897.000    -298.2567637    532.8903061    198.7112251    179.7458409
     898.000    -298.7897647    533.1117124    198.7130792    179.9445530
     899.000    -299.3229870    533.3328744    198.7149272    180.1432670
     900.000    -299.8564304    533.5537925    198.7167691    180.3419829
     901.000    -300.3900945    533.7744673    198.7186049    180.5407005
     902.000    -300.9239792    533.9948995    198.7204346    180.7394201
     903.000    -301.4580843    534.2150893    198.7222583    180.9381414
     904.000    -301.9924093    534.4350375    198.7240759    181.1368646
     905.000    -302.5269542    534.6547445    198.7258876    181.3355896
     906.000    -303.0617187    534.8742109    198.7276933    181.5343164
     907.000    -303.5967026    535.0934372    198.7294930    181.7330449
     908.000    -304.1319055    535.3124239    198.7312868    181.9317753
     909.000    -304.6673274    535.5311715    198.7330748    182.1305075
     910.000    -305.2029678    535.7496805    198.7348569    182.3292415
     911.000    -305.7388266    535.9679516    198.7366331    182.5279772
     912.000    -306.2749036    536.1859851    198.7384035    182.7267147
     913.000    -306.8111985    536.4037816    198.7401682    182.9254540
     914.000    -307.3477111    536.6213416    198.7419271    183.1241951
     915.000    -307.8844411    536.8386656    198.7436802    183.3229379
     916.000    -308.4213884    537.0557542    198.7454277    183.5216824
     917.000    -308.9585526    537.2726078    198.7471694    183.7204287
     918.000    -309.4959335    537.4892269    198.7489055    183.9191768
     919.000    -310.0335309    537.7056121    198.7506360    184.1179266
     920.000    -310.5713446    537.9217638    198.7523608    184.3166780
     921.000    -311.1093744    538.1376826    198.7540801    184.5154313
     922.000    -311.6476199    538.3533689    198.7557937    184.7141862
     923.000    -312.1860811    538.5688233    198.7575019    184.9129429
     924.000    -312.7247575    538.7840462    198.7592045    185.1117012
     925.000    -313.2636491    538.9990382    198.7609017    185.3104613
     926.000    -313.8027555    539.2137997    198.7625933    185.5092230
     927.000    -314.3420766    539.4283312    198.7642796    185.7079864
     928.000    -314.8816121    539.6426333    198.7659604    185.9067516
     929.000    -315.4213618    539.8567063    198.7676358    186.1055184
     930.000    -315.9613254    540.0705508    198.7693058    186.3042868
