#      T [K]      F [kJ/mol]    S [J/K/mol]  C_v [J/K/mol]     E [kJ/mol]
      52.000      17.8535937     47.1492793     84.7493200     20.3053562
      53.000      17.8056284     48.7821979     86.7035250     20.3910849
      54.000      17.7560274     50.4208620     88.6297190     20.4787539
      55.000      17.7047850     52.0645424     90.5274440     20.5683349
      56.000      17.6518968     53.7125418     92.3963158     20.6597992
      57.000      17.5973587     55.3641937     94.2360209     20.7531178
      58.000      17.5411674     57.0188615     96.0463133     20.8482614
      59.000      17.4833202     58.6759377     97.8270112     20.9452005
      60.000      17.4238150     60.3348428     99.5779931     21.0439055
      61.000      17.3626501     61.9950245    101.2991948     21.1443466
      62.000      17.2998247     63.6559569    102.9906052     21.2464940
      63.000      17.2353381     65.3171395    104.6522628     21.3503179
      64.000      17.1691905     66.9780964    106.2842522     21.4557886
      65.000      17.1013821     68.6383755    107.8867008     21.5628766
      66.000      17.0319141     70.2975479    109.4597747     21.6715522
      67.000      16.9607876     71.9552063    111.0036759     21.7817864
      68.000      16.8880043     73.6109653    112.5186391     21.8935499
      69.000      16.8135664     75.2644597    114.0049284     22.0068141
      70.000      16.7374762     76.9153441    115.4628344     22.1215503
      71.000      16.6597367     78.5632921    116.8926716     22.2377304
      72.000      16.5803507     80.2079957    118.2947755     22.3553264
      73.000      16.4993219     81.8491641    119.6695006     22.4743108
      74.000      16.4166537     83.4865236    121.0172177     22.5946564
      75.000      16.3323502     85.1198164    122.3383116     22.7163364
      76.000      16.2464155     86.7488003    123.6331796     22.8393243
      77.000      16.1588541     88.3732477    124.9022293     22.9635942
      78.000      16.0696706     89.9929452    126.1458766     23.0891203
      79.000      15.9788698     91.6076929    127.3645448     23.2158776
      80.000      15.8864569     93.2173038    128.5586624     23.3438412
      81.000      15.7924370     94.8216032    129.7286622     23.4729869
      82.000      15.6968155     96.4204283    130.8749798     23.6032906
      83.000      15.5995980     98.0136272    131.9980524     23.7347291
      84.000      15.5007902     99.6010590    133.0983182     23.8672791
      85.000      15.4003979    101.1825928    134.1762149     24.0009183
      86.000      15.2984270    102.7581076    135.2321792     24.1356243
      87.000      15.1948837    104.3274914    136.2666458     24.2713754
      88.000      15.0897741    105.8906412    137.2800470     24.4081505
      89.000      14.9831045    107.4474622    138.2728117     24.5459287
      90.000      14.8748813    108.9978677    139.2453650     24.6846894
      91.000      14.7651110    110.5417785    140.1981280     24.8244128
      92.000      14.6538000    112.0791224    141.1315168     24.9650792
      93.000      14.5409549    113.6098343    142.0459424     25.1066695
      94.000      14.4265825    115.1338553    142.9418106     25.2491649
      95.000      14.3106895    116.6511329    143.8195214     25.3925471
      96.000      14.1932825    118.1616200    144.6794686     25.5367980
      97.000      14.0743685    119.6652756    145.5220400     25.6819002
      98.000      13.9539543    121.1620633    146.3476171     25.8278365
      99.000      13.8320467    122.6519520    147.1565748     25.9745899
     100.000      13.7086527    124.1349153    147.9492812     26.1221442
     101.000      13.5837792    125.6109310    148.7260979     26.2704832
     102.000      13.4574331    127.0799812    149.4873798     26.4195912
     103.000      13.3296215    128.5420521    150.2334746     26.5694529
     104.000      13.2003513    129.9971333    150.9647235     26.7200532
     105.000      13.0696296    131.4452182    151.6814606     26.8713775
     106.000      12.9374632    132.8863034    152.3840134     27.0234114
     107.000      12.8038593    134.3203887    153.0727022     27.1761409
     108.000      12.6688248    135.7474768    153.7478409     27.3295523
     109.000      12.5323667    137.1675732    154.4097364     27.4836322
     110.000      12.3944920    138.5806861    155.0586889     27.6383674
     111.000      12.2552076    139.9868260    155.6949921     27.7937453
     112.000      12.1145206    141.3860059    156.3189331     27.9497533
     113.000      11.9724379    142.7782409    156.9307926     28.1063792
     114.000      11.8289665    144.1635481    157.5308447     28.2636110
     115.000      11.6841131    145.5419466    158.1193574     28.4214370
     116.000      11.5378849    146.9134572    158.6965925     28.5798459
     117.000      11.3902885    148.2781025    159.2628056     28.7388265
     118.000      11.2413310    149.6359066    159.8182464     28.8983679
     119.000      11.0910190    150.9868951    160.3631587     29.0584595
     120.000      10.9393594    152.3310950    160.8977805     29.2190908
     121.000      10.7863590    153.6685344    161.4223441     29.3802517
     122.000      10.6320246    154.9992429    161.9370764     29.5419322
     123.000      10.4763628    156.3232510    162.4421986     29.7041227
     124.000      10.3193803    157.6405902    162.9379268     29.8668135
     125.000      10.1610838    158.9512930    163.4244719     30.0299955
     126.000      10.0014799    160.2553930    163.9020393     30.1936594
     127.000       9.8405752    161.5529242    164.3708300     30.3577966
     128.000       9.6783763    162.8439218    164.8310396     30.5223982
     129.000       9.5148896    164.1284212    165.2828592     30.6874559
     130.000       9.3501216    165.4064589    165.7264752     30.8529612
     131.000       9.1840788    166.6780717    166.1620693     31.0189062
     132.000       9.0167676    167.9432969    166.5898189     31.1852828
     133.000       8.8481943    169.2021725    167.0098970     31.3520832
     134.000       8.6783653    170.4547368    167.4224724     31.5193000
     135.000       8.5072869    171.7010284    167.8277097     31.6869257
     136.000       8.3349653    172.9410863    168.2257695     31.8549531
     137.000       8.1614068    174.1749499    168.6168084     32.0233749
     138.000       7.9866175    175.4026588    169.0009793     32.1921844
     139.000       7.8106035    176.6242528    169.3784310     32.3613747
     140.000       7.6333710    177.8397719    169.7493092     32.5309391
     141.000       7.4549260    179.0492563    170.1137556     32.7008711
     142.000       7.2752745    180.2527464    170.4719085     32.8711645
     143.000       7.0944225    181.4502826    170.8239029     33.0418129
     144.000       6.9123759    182.6419054    171.1698705     33.2128103
     145.000       6.7291406    183.8276555    171.5099398     33.3841507
     146.000       6.5447225    185.0075733    171.8442361     33.5558282
     147.000       6.3591274    186.1816996    172.1728816     33.7278373
     148.000       6.1723611    187.3500750    172.4959957     33.9001722
     149.000       5.9844292    188.5127401    172.8136947     34.0728275
     150.000       5.7953375    189.6697355    173.1260922     34.2457978
     151.000       5.6050916    190.8211015    173.4332991     34.4190779
     152.000       5.4136971    191.9668787    173.7354235     34.5926627
     153.000       5.2211597    193.1071074    174.0325710     34.7665471
     154.000       5.0274847    194.2418277    174.3248445     34.9407262
     155.000       4.8326778    195.3710797    174.6123445     35.1151952
     156.000       4.6367444    196.4949035    174.8951692     35.2899493
     157.000       4.4396898    197.6133387    175.1734144     35.4649840
     158.000       4.2415195    198.7264251    175.4471735     35.6402947
     159.000       4.0422387    199.8342021    175.7165378     35.8158769
     160.000       3.8418529    200.9367091    175.9815963     35.9917263
     161.000       3.6403671    202.0339851    176.2424361     36.1678387
     162.000       3.4377866    203.1260691    176.4991420     36.3442098
     163.000       3.2341167    204.2129997    176.7517969     36.5208356
     164.000       3.0293623    205.2948156    177.0004819     36.6977121
     165.000       2.8235287    206.3715549    177.2452759     36.8748353
     166.000       2.6166209    207.4432558    177.4862561     37.0522014
     167.000       2.4086439    208.5099561    177.7234980     37.2298065
     168.000       2.1996026    209.5716934    177.9570753     37.4076471
     169.000       1.9895021    210.6285051    178.1870597     37.5857195
     170.000       1.7783472    211.6804284    178.4135217     37.7640201
     171.000       1.5661429    212.7275000    178.6365297     37.9425454
     172.000       1.3528939    213.7697567    178.8561510     38.1212920
     173.000       1.1386050    214.8072348    179.0724510     38.3002566
     174.000       0.9232810    215.8399704    179.2854937     38.4794358
     175.000       0.7069266    216.8679995    179.4953416     38.6588265
     176.000       0.4895465    217.8913576    179.7020560     38.8384255
     177.000       0.2711454    218.9100801    179.9056965     39.0182296
     178.000       0.0517279    219.9242020    180.1063215     39.1982358
     179.000      -0.1687015    220.9337581    180.3039881     39.3784412
     180.000      -0.3901381    221.9387831    180.4987521     39.5588429
     181.000      -0.6125775    222.9393112    180.6906680     39.7394378
     182.000      -0.8360152    223.9353764    180.8797890     39.9202233
     183.000      -1.0604468    224.9270124    181.0661674     40.1011965
     184.000      -1.2858678    225.9142527    181.2498540     40.2823547
     185.000      -1.5122739    226.8971305    181.4308987     40.4636953
     186.000      -1.7396606    227.8756788    181.6093502     40.6452156
     187.000      -1.9680238    228.8499301    181.7852562     40.8269131
     188.000      -2.1973591    229.8199169    181.9586633     41.0087853
     189.000      -2.4276622    230.7856712    182.1296170     41.1908297
     190.000      -2.6589290    231.7472250    182.2981620     41.3730437
     191.000      -2.8911553    232.7046097    182.4643418     41.5554252
     192.000      -3.1243368    233.6578567    182.6281991     41.7379717
     193.000      -3.3584696    234.6069971    182.7897756     41.9206808
     194.000      -3.5935495    235.5520615    182.9491123     42.1035505
     195.000      -3.8295724    236.4930805    183.1062490     42.2865783
     196.000      -4.0665343    237.4300844    183.2612249     42.4697622
     197.000      -4.3044312    238.3631030    183.4140782     42.6531001
     198.000      -4.5432592    239.2921661    183.5648465     42.8365897
     199.000      -4.7830142    240.2173031    183.7135663     43.0202291
     200.000      -5.0236925    241.1385433    183.8602736     43.2040162
     201.000      -5.2652900    242.0559154    184.0050034     43.3879490
     202.000      -5.5078030    242.9694483    184.1477902     43.5720255
     203.000      -5.7512277    243.8791703    184.2886677     43.7562439
     204.000      -5.9955601    244.7851096    184.4276687     43.9406022
     205.000      -6.2407966    245.6872940    184.5648257     44.1250986
     206.000      -6.4869335    246.5857512    184.7001701     44.3097313
     207.000      -6.7339669    247.4805086    184.8337330     44.4944984
     208.000      -6.9818933    248.3715934    184.9655447     44.6793982
     209.000      -7.2307089    249.2590324    185.0956348     44.8644289
     210.000      -7.4804101    250.1428523    185.2240325     45.0495889
     211.000      -7.7309934    251.0230795    185.3507662     45.2348764
     212.000      -7.9824551    251.8997403    185.4758638     45.4202898
     213.000      -8.2347917    252.7728604    185.5993528     45.6058276
     214.000      -8.4879996    253.6424657    185.7212598     45.7914880
     215.000      -8.7420755    254.5085816    185.8416112     45.9772696
     216.000      -8.9970157    255.3712333    185.9604326     46.1631707
     217.000      -9.2528168    256.2304458    186.0777493     46.3491900
     218.000      -9.5094754    257.0862438    186.1935859     46.5353257
     219.000      -9.7669881    257.9386519    186.3079668     46.7215766
     220.000     -10.0253516    258.7876945    186.4209155     46.9079412
     221.000     -10.2845624    259.6333955    186.5324555     47.0944180
     222.000     -10.5446173    260.4757789    186.6426094     47.2810056
     223.000     -10.8055129    261.3148683    186.7513997     47.4677028
     224.000     -11.0672459    262.1506871    186.8588482     47.6545080
     225.000     -11.3298132    262.9832586    186.9649765     47.8414200
     226.000     -11.5932114    263.8126057    187.0698056     48.0284375
     227.000     -11.8574373    264.6387511    187.1733561     48.2155592
     228.000     -12.1224878    265.4617176    187.2756485     48.4027838
     229.000     -12.3883597    266.2815274    187.3767024     48.5901101
     230.000     -12.6550498    267.0982027    187.4765375     48.7775368
     231.000     -12.9225551    267.9117655    187.5751728     48.9650628
     232.000     -13.1908723    268.7222374    187.6726271     49.1526868
     233.000     -13.4599985    269.5296401    187.7689188     49.3404076
     234.000     -13.7299306    270.3339949    187.8640660     49.5282242
     235.000     -14.0006655    271.1353229    187.9580863     49.7161354
     236.000     -14.2722002    271.9336451    188.0509970     49.9041400
     237.000     -14.5445318    272.7289823    188.1428154     50.0922370
     238.000     -14.8176572    273.5213550    188.2335581     50.2804253
     239.000     -15.0915735    274.3107837    188.3232414     50.4687038
     240.000     -15.3662778    275.0972884    188.4118816     50.6570714
     241.000     -15.6417671    275.8808893    188.4994944     50.8455272
     242.000     -15.9180386    276.6616062    188.5860954     51.0340701
     243.000     -16.1950894    277.4394586    188.6716997     51.2226991
     244.000     -16.4729166    278.2144661    188.7563224     51.4114132
     245.000     -16.7515174    278.9866480    188.8399781     51.6002114
     246.000     -17.0308889    279.7560233    188.9226812     51.7890928
     247.000     -17.3110285    280.5226110    189.0044459     51.9780564
     248.000     -17.5919332    281.2864299    189.0852861     52.1671014
     249.000     -17.8736004    282.0474985    189.1652153     52.3562267
     250.000     -18.1560273    282.8058353    189.2442471     52.5454315
     251.000     -18.4392112    283.5614586    189.3223946     52.7347149
     252.000     -18.7231493    284.3143863    189.3996706     52.9240760
     253.000     -19.0078391    285.0646365    189.4760879     53.1135140
     254.000     -19.2932777    285.8122269    189.5516589     53.3030279
     255.000     -19.5794626    286.5571751    189.6263959     53.4926170
     256.000     -19.8663912    287.2994985    189.7003109     53.6822804
     257.000     -20.1540608    288.0392145    189.7734158     53.8720173
     258.000     -20.4424688    288.7763401    189.8457220     54.0618270
     259.000     -20.7316126    289.5108924    189.9172410     54.2517085
     260.000     -21.0214897    290.2428881    189.9879841     54.4416612
     261.000     -21.3120975    290.9723439    190.0579622     54.6316842
     262.000     -21.6034335    291.6992764    190.1271861     54.8217769
     263.000     -21.8954952    292.4237019    190.1956665     55.0119384
     264.000     -22.1882801    293.1456367    190.2634139     55.2021680
     265.000     -22.4817857    293.8650968    190.3304384     55.3924650
     266.000     -22.7760095    294.5820981    190.3967502     55.5828286
     267.000     -23.0709491    295.2966565    190.4623592     55.7732582
     268.000     -23.3666020    296.0087877    190.5272751     55.9637531
     269.000     -23.6629658    296.7185070    190.5915075     56.1543125
     270.000     -23.9600382    297.4258300    190.6550659     56.3449359
     271.000     -24.2578167    298.1307718    190.7179595     56.5356225
     272.000     -24.5562990    298.8333476    190.7801973     56.7263716
     273.000     -24.8554826    299.5335724    190.8417885     56.9171826
     274.000     -25.1553653    300.2314609    190.9027417     57.1080549
     275.000     -25.4559448    300.9270279    190.9630656     57.2989879
     276.000     -25.7572186    301.6202880    191.0227687     57.4899809
     277.000     -26.0591846    302.3112557    191.0818595     57.6810332
     278.000     -26.3618404    302.9999452    191.1403460     57.8721444
     279.000     -26.6651837    303.6863708    191.1982365     58.0633137
     280.000     -26.9692124    304.3705466    191.2555389     58.2545407
     281.000     -27.2739241    305.0524864    191.3122609     58.4458246
     282.000     -27.5793166    305.7322042    191.3684104     58.6371650
     283.000     -27.8853877    306.4097137    191.4239949     58.8285612
     284.000     -28.1921353    307.0850285    191.4790218     59.0200128
     285.000     -28.4995571    307.7581620    191.5334985     59.2115191
     286.000     -28.8076509    308.4291277    191.5874323     59.4030796
     287.000     -29.1164146    309.0979387    191.6408301     59.5946938
     288.000     -29.4258461    309.7646082    191.6936990     59.7863611
     289.000     -29.7359431    310.4291493    191.7460458     59.9780810
     290.000     -30.0467037    311.0915747    191.7978774     60.1698530
     291.000     -30.3581256    311.7518975    191.8492004     60.3616766
     292.000     -30.6702068    312.4101302    191.9000212     60.5535513
     293.000     -30.9829451    313.0662854    191.9503465     60.7454765
     294.000     -31.2963386    313.7203756    192.0001825     60.9374518
     295.000     -31.6103852    314.3724132    192.0495354     61.1294767
     296.000     -31.9250828    315.0224104    192.0984114     61.3215507
     297.000     -32.2404293    315.6703794    192.1468166     61.5136734
     298.000     -32.5564229    316.3163324    192.1947569     61.7058442
     299.000     -32.8730613    316.9602811    192.2422382     61.8980627
     300.000     -33.1903428    317.6022376    192.2892663     62.0903285
     301.000     -33.5082652    318.2422135    192.3358467     62.2826411
     302.000     -33.8268265    318.8802205    192.3819852     62.4750000
     303.000     -34.1460249    319.5162702    192.4276873     62.6674049
     304.000     -34.4658584    320.1503740    192.4729583     62.8598553
     305.000     -34.7863250    320.7825434    192.5178036     63.0523507
     306.000     -35.1074229    321.4127896    192.5622284     63.2448907
     307.000     -35.4291500    322.0411238    192.6062380     63.4374750
     308.000     -35.7515045    322.6675571    192.6498375     63.6301031
     309.000     -36.0744845    323.2921004    192.6930318     63.8227746
     310.000     -36.3980881    323.9147648    192.7358260     64.0154890
     311.000     -36.7223134    324.5355609    192.7782248     64.2082461
     312.000     -37.0471586    325.1544997    192.8202331     64.4010453
     313.000     -37.3726218    325.7715916    192.8618557     64.5938864
     314.000     -37.6987011    326.3868473    192.9030971     64.7867689
     315.000     -38.0253948    327.0002772    192.9439620     64.9796925
     316.000     -38.3527011    327.6118918    192.9844549     65.1726567
     317.000     -38.6806180    328.2217013    193.0245803     65.3656613
     318.000     -39.0091439    328.8297159    193.0643425     65.5587058
     319.000     -39.3382769    329.4359458    193.1037458     65.7517898
     320.000     -39.6680152    330.0404010    193.1427946     65.9449131
     321.000     -39.9983571    330.6430915    193.1814929     66.1380753
     322.000     -40.3293008    331.2440273    193.2198451     66.3312760
     323.000     -40.6608446    331.8432181    193.2578550     66.5245149
     324.000     -40.9929866    332.4406736    193.2955268     66.7177916
     325.000     -41.3257253    333.0364035    193.3328645     66.9111058
     326.000     -41.6590589    333.6304175    193.3698718     67.1044572
     327.000     -41.9929856    334.2227249    193.4065527     67.2978455
     328.000     -42.3275038    334.8133353    193.4429109     67.4912702
     329.000     -42.6626117    335.4022580    193.4789502     67.6847312
     330.000     -42.9983077    335.9895022    193.5146743     67.8782280
     331.000     -43.3345901    336.5750772    193.5500867     68.0717604
     332.000     -43.6714573    337.1589922    193.5851912     68.2653281
     333.000     -44.0089076    337.7412561    193.6199911     68.4589307
     334.000     -44.3469393    338.3218780    193.6544901     68.6525680
     335.000     -44.6855508    338.9008668    193.6886914     68.8462396
     336.000     -45.0247405    339.4782313    193.7225985     69.0399452
     337.000     -45.3645067    340.0539804    193.7562148     69.2336847
     338.000     -45.7048479    340.6281227    193.7895435     69.4274576
     339.000     -46.0457624    341.2006670    193.8225878     69.6212637
     340.000     -46.3872487    341.7716217    193.8553510     69.8151027
     341.000     -46.7293051    342.3409954    193.8878361     70.0089743
     342.000     -47.0719302    342.9087965    193.9200464     70.2028782
     343.000     -47.4151222    343.4750335    193.9519849     70.3968143
     344.000     -47.7588797    344.0397147    193.9836545     70.5907821
     345.000     -48.1032011    344.6028482    194.0150583     70.7847815
     346.000     -48.4480849    345.1644424    194.0461993     70.9788122
     347.000     -48.7935295    345.7245053    194.0770803     71.1728738
     348.000     -49.1395334    346.2830449    194.1077041     71.3669662
     349.000     -49.4860951    346.8400694    194.1380736     71.5610891
     350.000     -49.8332130    347.3955867    194.1681917     71.7552423
     351.000     -50.1808858    347.9496046    194.1980610     71.9494254
     352.000     -50.5291118    348.5021309    194.2276842     72.1436383
     353.000     -50.8778895    349.0531735    194.2570640     72.3378807
     354.000     -51.2272176    349.6027401    194.2862031     72.5321524
     355.000     -51.5770945    350.1508382    194.3151040     72.7264531
     356.000     -51.9275188    350.6974756    194.3437693     72.9207825
     357.000     -52.2784890    351.2426597    194.3722016     73.1151405
     358.000     -52.6300036    351.7863980    194.4004034     73.3095268
     359.000     -52.9820613    352.3286979    194.4283770     73.5039412
     360.000     -53.3346606    352.8695669    194.4561250     73.6983835
     361.000     -53.6878000    353.4090122    194.4836498     73.8928534
     362.000     -54.0414781    353.9470410    194.5109537     74.0873507
     363.000     -54.3956936    354.4836607    194.5380390     74.2818753
     364.000     -54.7504450    355.0188783    194.5649081     74.4764267
     365.000     -55.1057309    355.5527010    194.5915632     74.6710050
     366.000     -55.4615499    356.0851358    194.6180067     74.8656098
     367.000     -55.8179007    356.6161897    194.6442406     75.0602409
     368.000     -56.1747818    357.1458697    194.6702673     75.2548982
     369.000     -56.5321920    357.6741826    194.6960888     75.4495814
     370.000     -56.8901297    358.2011353    194.7217073     75.6442903
     371.000     -57.2485938    358.7267346    194.7471249     75.8390248
     372.000     -57.6075828    359.2509873    194.7723436     76.0337845
     373.000     -57.9670953    359.7739000    194.7973656     76.2285694
     374.000     -58.3271301    360.2954794    194.8221929     76.4233792
     375.000     -58.6876858    360.8157321    194.8468274     76.6182137
     376.000     -59.0487611    361.3346646    194.8712712     76.8130728
     377.000     -59.4103547    361.8522836    194.8955262     77.0079562
     378.000     -59.7724653    362.3685953    194.9195942     77.2028638
     379.000     -60.1350915    362.8836063    194.9434773     77.3977953
     380.000     -60.4982320    363.3973229    194.9671773     77.5927506
     381.000     -60.8618857    363.9097514    194.9906960     77.7877296
     382.000     -61.2260511    364.4208982    195.0140352     77.9827320
     383.000     -61.5907271    364.9307694    195.0371969     78.1777576
     384.000     -61.9559122    365.4393712    195.0601827     78.3728063
     385.000     -62.3216054    365.9467099    195.0829945     78.5678779
     386.000     -62.6878052    366.4527914    195.1056339     78.7629722
     387.000     -63.0545106    366.9576219    195.1281027     78.9580891
     388.000     -63.4217201    367.4612074    195.1504026     79.1532284
     389.000     -63.7894326    367.9635538    195.1725353     79.3483899
     390.000     -64.1576468    368.4646671    195.1945024     79.5435734
     391.000     -64.5263615    368.9645532    195.2163055     79.7387788
     392.000     -64.8955755    369.4632179    195.2379463     79.9340060
     393.000     -65.2652875    369.9606671    195.2594264     80.1292547
     394.000     -65.6354964    370.4569065    195.2807474     80.3245248
     395.000     -66.0062009    370.9519419    195.3019107     80.5198161
     396.000     -66.3773999    371.4457788    195.3229180     80.7151285
     397.000     -66.7490921    371.9384231    195.3437708     80.9104619
     398.000     -67.1212763    372.4298803    195.3644705     81.1058160
     399.000     -67.4939514    372.9201560    195.3850186     81.3011908
     400.000     -67.8671163    373.4092557    195.4054167     81.4965860
     401.000     -68.2407696    373.8971849    195.4256662     81.6920016
     402.000     -68.6149102    374.3839491    195.4457684     81.8874373
     403.000     -68.9895371    374.8695537    195.4657249     82.0828931
